{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.0796152 + 0.393691 I, -0.116202 - 0.412998 I, 0.460528 + 0.0705918 I, -0.152199 - 0.458476 I, 0.204221 + 0.13078 I, 0.37874 + 0.0437197 I},
{0.571399 + 0.0918158 I, -0.033437 - 0.283548 I, 0.149946 + 0.396801 I, -0.145329 - 0.463978 I, 0.193652 + 0.282717 I, 0.189556 + 0.117741 I},
{0.257007 + 0.138354 I, -0.116301 - 0.587795 I, 0.314295 + 0.242845 I, -0.228764 - 0.0390168 I, 0.354202 + 0.410418 I, 0.156108 + 0.16092 I},
{0.239247 + 0.410771 I, -0.41091 - 0.00637846 I, 0.258811 + 0.11299 I, -0.437875 - 0.300822 I, 0.233143 + 0.162329 I, 0.346474 + 0.205939 I},
{0.362901 + 0.146328 I, -0.392185 - 0.416653 I, 0.304643 + 0.213984 I, -0.0512596 - 0.175221 I, 0.412421 + 0.170782 I, 0.360961 + 0.134188 I},
{0.359507 + 0.334277 I, -0.338532 - 0.23301 I, 0.448088 + 0.0817627 I, -0.126151 - 0.115998 I, 0.185055 + 0.0648387 I, 0.3709 + 0.421026 I},
{0.330756 + 0.0159682 I, -0.0175947 - 0.157578 I, 0.105734 + 0.28305 I, -0.367555 - 0.415205 I, 0.254784 + 0.430328 I, 0.29237 + 0.361716 I},
{0.041314 + 0.0116893 I, -0.299496 - 0.219998 I, 0.408882 + 0.414416 I, -0.248898 - 0.36376 I, 0.315919 + 0.435742 I, 0.191707 + 0.0208643 I},
{0.199627 + 0.0237391 I, -0.364304 - 0.298688 I, 0.184974 + 0.0726421 I, -0.310459 - 0.398355 I, 0.379893 + 0.380219 I, 0.262851 + 0.291744 I},
{0.211685 + 0.365559 I, -0.182737 - 0.250903 I, 0.382775 + 0.339895 I, -0.0247704 - 0.302298 I, 0.245637 + 0.346187 I, 0.214117 + 0.380971 I},
{0.304284 + 0.25592 I, -0.364262 - 0.101207 I, 0.421872 + 0.158704 I, -0.228567 - 0.429322 I, 0.40072 + 0.0113 I, 0.0742204 + 0.305041 I},
{0.344466 + 0.213856 I, -0.409027 - 0.0281415 I, 0.245529 + 0.345263 I, -0.401061 - 0.371651 I, 0.137975 + 0.388718 I, 0.0710714 + 0.11772 I},
{0.398729 + 0.0680115 I, -0.153918 - 0.177251 I, 0.137657 + 0.361418 I, -0.499404 - 0.351153 I, 0.200178 + 0.335741 I, 0.0146721 + 0.325557 I},
{0.0933046 + 0.396999 I, -0.409393 - 0.192989 I, 0.409013 + 0.182753 I, -0.42045 - 0.201492 I, 0.278077 + 0.0208533 I, 0.364694 + 0.00288231 I},
{0.323948 + 0.403655 I, -0.216215 - 0.0439505 I, 0.230667 + 0.325882 I, -0.508858 - 0.134084 I, 0.426104 + 0.0388196 I, 0.174573 + 0.183225 I},
{0.317167 + 0.0852503 I, -0.255208 - 0.401604 I, 0.0817161 + 0.342137 I, -0.182236 - 0.331144 I, 0.347402 + 0.182474 I, 0.494592 + 0.0226259 I},
{0.105059 + 0.276321 I, -0.0768056 - 0.448058 I, 0.445872 + 0.324037 I, -0.415336 - 0.165677 I, 0.091789 + 0.0826623 I, 0.33086 + 0.278339 I},
